"UniqueSite","Site_Lat","Site_Long","Year","Targeted.biomass","PA_tp","Atoll","DepthCategory","CleanHabitat","Protection","CensusMethod","Total.sampling.Area","gravtot_500km","MPAage","NTZarea","Regional_population_growth","Ocean_prod","Climate_stress","HDI","Larger_pop_size","spatialcatch_tkm2","Larger_2","SocialSIte4km"
8608,-14.53765,-168.170567,2008,241.563704,0,1,"0-4m","Slope","Fished","Standard belt transect",400,0.242215744,0,0,0,112.3818543,0.678094681,0.827,55128,1.38972724194652,"American Samoa","Williams_old_259"
8609,-14.534083,-168.1598,2008,474.8872138,0,1,">10m","Slope","Fished","Standard belt transect",400,0.240674063,0,0,0,112.3818543,0.678094681,0.827,55128,1.38972724194652,"American Samoa","Williams_old_259"
8610,-14.556667,-168.162517,2008,390.6034915,1,1,"4-10m","Slope","Fished","Standard belt transect",400,0.239408647,0,0,0,112.3818543,0.678094681,0.827,55128,1.38972724194652,"American Samoa","Williams_old_259"
8611,-14.555983,-168.150333,2008,194.8134797,0,1,"0-4m","Slope","Fished","Standard belt transect",400,0.237895268,0,0,0,112.3818543,0.678094681,0.827,55128,1.38972724194652,"American Samoa","Williams_old_259"
8612,-14.560017,-168.1561,2008,132.9049979,0,1,">10m","Slope","Fished","Standard belt transect",400,0.238779905,0,0,0,112.3818543,0.678094681,0.827,55128,1.38972724194652,"American Samoa","Williams_old_259"
8613,-14.545133,-168.171217,2008,367.9049969,0,1,">10m","Slope","Fished","Standard belt transect",400,0.241575227,0,0,0,112.3818543,0.678094681,0.827,55128,1.38972724194652,"American Samoa","Williams_old_259"
8614,-14.542817,-168.147933,2008,7.880419662,0,1,"0-4m","Lagoon_Back reef","UnfishedLow","Standard belt transect",200,0.2385203,35,5.63570714,0,112.3818543,0.678094681,0.827,55128,1.38972724194652,"American Samoa","Williams_old_259"
8615,-14.554083,-168.153967,2008,79.06403804,0,1,"0-4m","Lagoon_Back reef","UnfishedLow","Standard belt transect",400,0.239408647,35,5.63570714,0,112.3818543,0.678094681,0.827,55128,1.38972724194652,"American Samoa","Williams_old_259"
8616,-14.539283,-168.161367,2008,101.107025,0,1,"0-4m","Lagoon_Back reef","UnfishedLow","Standard belt transect",400,0.240674063,35,5.63570714,0,112.3818543,0.678094681,0.827,55128,1.38972724194652,"American Samoa","Williams_old_259"
8619,14.17567,145.28577,2009,1436.924409,1,0,">10m","Slope","Fished","Standard belt transect",400,5.317070603,0,0,20.83946115,104.7951788,0.726705052,0.875,53860,0.851094086800453,"Commonwealth of the Northern Mariana Islands","Williams_old_260"
8622,14.15378,145.25938,2009,24.51845628,0,0,">10m","Slope","Fished","Standard belt transect",200,2.676484673,0,0,20.83946115,104.7951788,0.726705052,0.875,53860,0.851094086800453,"Commonwealth of the Northern Mariana Islands","Williams_old_260"
8625,14.114,145.16717,2009,316.2592646,1,0,">10m","Slope","UnfishedLow","Standard belt transect",400,7.264968753,15,0.8441,20.22626857,104.7393617,0.728554586,0.875,53860,0.851094086800453,"Commonwealth of the Northern Mariana Islands","Williams_old_261"
8628,14.18288,145.20702,2009,84.53101611,0,0,">10m","Slope","Fished","Standard belt transect",400,2.045323818,0,0,20.77136954,105.1877215,0.727742763,0.875,53860,0.851094086800453,"Commonwealth of the Northern Mariana Islands","Williams_old_262"
8631,14.15838,145.1504,2009,216.0918008,0,0,">10m","Slope","Fished","Standard belt transect",400,5.045901553,0,0,20.21838126,104.441801,0.72880154,0.875,53860,0.851094086800453,"Commonwealth of the Northern Mariana Islands","Williams_old_263"
8634,14.1367,145.14172,2009,157.7376937,0,0,"4-10m","Slope","Fished","Standard belt transect",400,242.6791458,0,0,20.21838126,104.441801,0.72880154,0.875,53860,0.851094086800453,"Commonwealth of the Northern Mariana Islands","Williams_old_263"
